coord,model,horizon,rmse,n,skill
h0,quadratic_recent,5,0.001694501974603664,60,0.4958285297147832
h0,quadratic_recent,10,0.003038745092917136,60,0.5804081203733499
h0,quadratic_recent,15,0.004315368087610512,60,0.6971382614254877
h0,quadratic_recent,20,0.005777011647830554,60,0.7413989230963387
h0,quadratic_recent,30,0.009326392802638275,59,0.7815961052365955
h0,quadratic_recent,40,0.012072332130548289,49,0.7347604363270743
h0,quadratic_recent,50,0.016796662831268263,43,0.6499102511321894
h0,quadratic_recent,75,0.035837697807270225,27,0.19240602310902977
h0,quadratic_recent,100,0.07119592977237169,9,-0.8894851832398243
h0,ar2,1,0.0006278144506328541,60,0.20673944486804752
h0,ar2,3,0.0010888962781475575,60,0.40453961031348273
h0,ar2,5,0.001603245515021825,60,0.5486700278591291
h0,ar2,10,0.0025765912183845488,60,0.6983317678813534
h0,ar2,15,0.003902269168428028,60,0.7523472441862059
h0,ar2,20,0.005400538102508992,60,0.7740054782242516
h0,ar2,30,0.00887863247021935,59,0.8020638444887055
h0,ar2,40,0.012001242077070944,49,0.7378750584952272
h0,ar2,50,0.016460877118259692,43,0.663767777720474
h0,ar2,75,0.03371747527771693,27,0.28513676745289407
h0,ar2,100,0.045872851463097476,9,0.21558727155747726
h1,persistence,1,0.0043134987682699796,60,5.374531586443965e-08
h1,persistence,3,0.008998133025539435,60,1.2350802380822756e-08
h1,persistence,5,0.01326375724862324,60,5.684167470043633e-09
h1,persistence,10,0.025399305162039053,60,1.550087946888823e-09
h1,persistence,15,0.04074614702644921,60,6.02319416564967e-10
h1,persistence,20,0.05674042418630266,60,3.106095380900342e-10
h1,persistence,30,0.09064392681450463,59,1.2170897623065002e-10
h1,persistence,40,0.10785577448046921,49,8.596334755139878e-11
h1,persistence,50,0.13500147374991153,43,5.4868443122302324e-11
h1,persistence,75,0.20337818029492644,27,2.417632760653987e-11
h1,persistence,100,0.21666718805384869,9,2.1301627128877954e-11
h1,const_velocity,1,0.0036045148636014513,60,0.30171251036824975
h1,const_velocity,3,0.0062352442810087155,60,0.519822151530835
h1,const_velocity,5,0.008108808441674982,60,0.6262502165152528
h1,const_velocity,10,0.013075456432908389,60,0.7349852517745501
h1,const_velocity,15,0.02090326075593543,60,0.7368187288679166
h1,const_velocity,20,0.028438704148291936,60,0.7487914308134231
h1,const_velocity,30,0.043987317840767606,59,0.7645072508370327
h1,const_velocity,40,0.049105283171069276,49,0.792714159852893
h1,const_velocity,50,0.07193173492917708,43,0.7161008767068441
h1,const_velocity,75,0.1393434375903747,27,0.5305770414771758
h1,const_velocity,100,0.16356533117557198,9,0.430103197105837
h1,linear_recent,1,0.008318599769841397,60,-2.719127604421011
h1,linear_recent,3,0.009997055787957789,60,-0.23435308633468033
h1,linear_recent,5,0.011636967682174412,60,0.23025562453776527
h1,linear_recent,10,0.016575547210399045,60,0.5741152621465768
h1,linear_recent,15,0.02397307469180101,60,0.6538419937150641
h1,linear_recent,20,0.03291270253542541,60,0.6635334208445871
h1,linear_recent,30,0.05204352062011407,59,0.6703478498694339
h1,linear_recent,40,0.06042724617337292,49,0.6861090444836384
h1,linear_recent,50,0.081960752391098,43,0.6314173790001438
h1,linear_recent,75,0.14457359963915917,27,0.49467675741474504
h1,linear_recent,100,0.15630021945240863,9,0.47960527993834257
h1,quadratic_recent,1,0.007533817269862562,60,-2.050498281040678
h1,quadratic_recent,3,0.009468258425457834,60,-0.10722372217411547
h1,quadratic_recent,5,0.01133537220780023,60,0.2696375477880223
h1,quadratic_recent,10,0.019066650420676377,60,0.4364854482068825
h1,quadratic_recent,15,0.02859028507164346,60,0.5076614126042899
h1,quadratic_recent,20,0.03841065092923982,60,0.541733429618248
h1,quadratic_recent,30,0.057905429067546886,59,0.5919051210443169
h1,quadratic_recent,40,0.07477656216865196,49,0.5193331337889231
h1,quadratic_recent,50,0.11006028175784494,43,0.33536344848657895
h1,quadratic_recent,75,0.21747475281803588,27,-0.14342840664018985
h1,quadratic_recent,100,0.4264948614448665,9,-2.8747288108714337
h1,ar2,1,0.0037953549357948877,60,0.22581382204486256
h1,ar2,3,0.006741639927547562,60,0.4386596229454781
h1,ar2,5,0.00937549668467993,60,0.5003620279865533
h1,ar2,10,0.01593125674072018,60,0.6065800303764071
h1,ar2,15,0.026899285690092208,60,0.564178753186352
h1,ar2,20,0.03836300860795975,60,0.5428695386159106
h1,ar2,30,0.06699467532643415,59,0.4537352830174002
h1,ar2,40,0.11897653741899246,49,-0.2168466406532068
h1,ar2,50,0.1423125261491324,43,-0.11124350714772024
h1,ar2,75,0.20369678073844436,27,-0.003135537854290993
h1,ar2,100,0.2013830478860536,9,0.1361078553229209
