coord,model,horizon,rmse,n,skill
h0,quadratic_recent,10,0.010519434766871425,60,0.11930078927871601
h0,quadratic_recent,15,0.014066427439640063,60,0.2771679071796965
h0,quadratic_recent,20,0.01720435731184991,60,0.3694058230932924
h0,quadratic_recent,30,0.027157801331564337,60,0.4246084104682879
h0,quadratic_recent,40,0.04158123201265997,53,0.0708034340234599
h0,quadratic_recent,50,0.053574271073574084,45,0.04286284631284476
h0,quadratic_recent,75,0.06466521229525131,31,-0.005127042691801309
h0,quadratic_recent,100,0.0746994518120835,14,-0.023836053853194317
h0,ar2,1,0.006791893907512767,60,-45.74173792533283
h0,ar2,3,0.03168977823437558,60,-67.57189582742268
h0,ar2,5,0.188640256354082,60,-768.5756382392951
h0,ar2,10,19.285279002805048,60,-2960019.0308099687
h0,ar2,15,1969.8556544029148,60,-14175507388.753117
h0,ar2,20,201421.338767212,60,-86433879251742.69
h0,ar2,30,2105779250.7303953,60,-3.459393616436016e+21
h0,ar2,40,23423862634952.38,53,-2.9486954208661564e+29
h0,ar2,50,3090195.14505422,45,-3184442745933508.0
h0,ar2,75,0.05214358472512757,31,0.34644624971640314
h0,ar2,100,0.0733678367813043,14,0.01234101711436808
h1,persistence,1,0.002110036591106864,60,2.2460526338807796e-07
h1,persistence,3,0.030963013925284607,60,1.0430701857799818e-09
h1,persistence,5,0.05248209868080267,60,3.6305936035319064e-10
h1,persistence,10,0.07158960065593817,60,1.9511936510951955e-10
h1,persistence,15,0.0946259849498968,60,1.1168099778302576e-10
h1,persistence,20,0.10500623697251626,60,9.069223150248718e-11
h1,persistence,30,0.13718776635511257,60,5.313349760172059e-11
h1,persistence,40,0.2030491595636929,53,2.4254709352078407e-11
h1,persistence,50,0.19222715054076928,45,2.706257440365789e-11
h1,persistence,75,0.286914590688366,31,1.2147838290843538e-11
h1,persistence,100,0.3910544895365573,14,6.539213615042172e-12
h1,const_velocity,1,0.0012257997217858213,60,0.6625115098755239
h1,const_velocity,3,0.02970184100027971,60,0.0798041270021641
h1,const_velocity,5,0.04924755540076677,60,0.1194643016017406
h1,const_velocity,10,0.06416979502861965,60,0.19654524672547002
h1,const_velocity,15,0.08248393327100365,60,0.24016744260528
h1,const_velocity,20,0.08821268023412525,60,0.2942809432785345
h1,const_velocity,30,0.11151884115498979,60,0.33920655623188134
h1,const_velocity,40,0.16413469117977106,53,0.3465710494704941
h1,const_velocity,50,0.16157762217178337,45,0.2934661581569106
h1,const_velocity,75,0.24760543145896138,31,0.25524219105558943
h1,const_velocity,100,0.3645583894149382,14,0.1309202287272545
h1,linear_recent,1,0.038273175062592084,60,-328.009859625352
h1,linear_recent,3,0.04982570830152454,60,-1.5895273702781623
h1,linear_recent,5,0.0664542714525427,60,-0.6033318324358632
h1,linear_recent,10,0.08136551732587682,60,-0.29175722815816374
h1,linear_recent,15,0.09975310811264952,60,-0.11130187357080423
h1,linear_recent,20,0.10745820313785656,60,-0.04724659716105162
h1,linear_recent,30,0.13223802637307017,60,0.07085830913904256
