sensor,horizon,rmse,r2
Vz_skew,25,0.04516226222017268,0.38170610681398776
Vz_skew,50,0.07937909244986777,-0.8702184960346822
AE_rms,1,0.00031012101775279154,0.9992453057485162
AE_rms,10,0.0024135285522971406,0.9432685730100738
AE_rms,25,0.00933711231435238,-0.806481838388067
AE_rms,50,0.02389680889640412,-0.32969850015064317
AE_peak,1,0.0005773558629909578,0.9991648526526997
AE_peak,10,0.009916320758548444,0.6058343291150146
AE_peak,25,0.019013148064654355,-0.32309758047213566
AE_peak,50,0.04620966322873008,-0.16654784391500077
AE_kurt,1,0.11245935838656387,0.9902155011556013
AE_kurt,10,0.9514286096479343,-2.2944590100373476
AE_kurt,25,1.3764015493464192,-15.100882145847283
AE_kurt,50,1.5204674773620337,-2.911825215521753
AE_skew,1,0.032562656886566246,0.9874635596999239
AE_skew,10,0.18236923540961505,0.1360450700234661
AE_skew,25,0.2681555179648847,-1.1787633430714166
AE_skew,50,0.6826436340420743,-1.3208362794907642
